ID,WLB1,WLB2,WLB3,WLB4,WLB5,WLB6,EE1,EE2,EE3,EE4,EE5,EE6,COMP1,COMP2,COMP3,COMP4,COMP5,COMP6,JC1,JC2,JC3,JC4,JC5,JC6,TI1,TI2,TI3,TI4,TI5,TI6
R218,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,2,3,3,3,3,3,3,3,3,3
R219,3,3,3,4,3,3,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4
R220,4,4,4,4,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4
R221,3,3,3,3,3,2,3,3,3,3,3,3,4,4,4,5,4,4,4,4,4,4,4,5,4,4,4,4,4,4
R222,4,3,3,3,3,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,3,3,4,4,4
R223,4,4,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,2,3
R224,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4
R225,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,4,4,4,4,5,5,5,3,3,4,3,3,4
R226,3,3,3,3,3,3,4,5,4,4,5,4,4,3,3,3,4,4,3,3,3,3,3,3,4,4,4,4,4,4
R227,3,3,3,3,3,3,5,5,4,4,4,5,3,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,5,4
R228,3,3,3,3,3,3,4,4,4,4,4,4,4,3,4,3,4,3,4,4,4,4,4,4,3,3,3,3,3,3
R229,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,4,4,3,3,4,4
R230,3,4,4,3,4,3,4,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,3
R231,3,3,3,3,3,3,4,4,4,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3
R232,4,5,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,3,4,4,3,4,4,4,3,3,4,4,3,3
R233,3,3,4,3,3,3,3,4,4,3,3,3,3,4,4,3,4,3,3,3,3,3,3,3,4,4,4,4,4,3
R234,4,4,4,4,4,3,4,3,4,3,3,4,4,3,4,3,3,4,3,3,3,3,3,3,4,4,4,5,4,4
R235,4,3,4,4,4,4,3,3,3,3,3,3,2,2,2,3,2,2,3,3,3,3,2,3,4,4,5,4,4,4
R236,4,4,3,3,3,3,4,3,4,4,4,4,4,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3
R237,4,4,4,4,4,4,3,3,3,4,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3
R238,4,3,3,3,4,3,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,2,2,3,2,2,2
R239,4,4,3,4,4,4,3,3,3,3,3,3,3,4,4,4,4,4,4,3,4,4,4,4,4,3,3,4,3,3
R240,3,3,3,3,4,4,4,4,4,3,4,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3
R241,3,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4
R242,4,4,4,4,3,4,3,4,4,3,4,3,3,3,3,3,3,4,3,3,3,3,2,3,4,4,4,4,4,4
R243,3,4,3,4,4,3,3,3,3,3,3,3,3,4,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3
R244,3,3,3,3,3,3,4,3,4,4,4,4,3,3,3,3,3,3,4,4,4,4,3,4,3,3,3,3,3,3
R245,4,4,4,4,4,4,4,5,4,4,4,5,4,4,4,4,4,4,3,4,3,3,3,3,3,4,4,4,4,4
R246,3,4,3,3,3,3,4,4,4,4,4,3,3,4,4,3,3,4,4,4,4,4,3,4,4,3,4,3,3,4
R247,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,4,3,3,3,3,3,4
R248,2,3,2,2,2,3,4,3,3,4,4,3,3,3,3,3,2,2,4,4,4,4,4,4,3,3,3,3,3,4
R249,3,3,3,3,3,3,2,3,3,3,3,3,4,4,4,4,4,4,2,2,2,3,2,3,3,3,3,3,3,2
R250,4,4,3,4,4,4,4,4,3,3,4,3,3,3,3,3,3,3,3,3,4,4,3,3,4,4,4,4,5,4
